TYPE,NAME,LOCATION,CONDITION,DESCRIPTION,TAGS
atk,Advanced Splash,R09: Beach,0.14%,Provides a 20% chance to damage enemies close to your primary target by a portion of your damage dealt to the primary target itself.,CHANCE AREA DAMAGE
atk,Air Attack,R02: Desert,5%,Provides the tower some basic Air damage on every attack.,DAMAGE
atk,Air Burst,R02: Desert,2%,Provides the tower a 20% chance to deal additional Air damage on an attack.,CHANCE DAMAGE
atk,Air Crit,R02: Desert,1%,Provides a chance to multiply your projectile's Air damage.,CHANCE DAMAGE
atk,Air Focus,R15: Chaos,1%,Increases Air damage dealt by the tower for 45 seconds.,ACTIVE INSTANT DAMAGE BUFF
atk,Air Impetus,R10: Ocean,1%,Increases the total Air damage of the tower based on the distance between the target and the tower at the moment the projectile arrives.,DAMAGE
atk,Air Slice,Experiment: Air,5.07M Pa,Provides a chance to create a gush of wind around the primary target that damages all nearby units and slows their attackspeed.,CHANCE AREA DAMAGE SLOW DEBUFF
atk,Air Splash,R06: High Mountain,2%,Provides a 20% chance to damage all enemies in a 8M radius around the primary target by a fixed amount. Damage type is Air.,AREA DAMAGE
atk,Air Subsistence,R12: Dark Realm,1%,Increases your Air damage based on your current energy percentage. Full bonus is applied at 100% energy. Drains 200 energy whenever the bonus is applied.,DAMAGE
atk,Air Taste,Experiment: Air,"202,650 Pa",Deals additional damage of type Air based on a percentage of the total damage dealt. Damage of taste modules can not be further amplified.,DAMAGE
atk,Anti-Air Crit,R13: Heaven,1%,Provides a chance to multiply your damage against Air enemies by 4.,CHANCE DAMAGE
atk,Anti-Air Projectiles,R11: Neutral,1%,Increases the damage dealt against Air enemies.,DAMAGE
atk,Anti-Darkness Crit,R12: Dark Realm,1%,Provides a chance to multiply your damage against Darkness enemies by 4.,CHANCE DAMAGE
atk,Anti-Darkness Projectiles,R11: Neutral,1%,Increases the damage dealt against Darkness enemies.,DAMAGE
atk,Anti-Earth Crit,R12: Dark Realm,1%,Provides a chance to multiply your damage against Earth enemies by 4.,CHANCE DAMAGE
atk,Anti-Earth Projectiles,R11: Neutral,1%,Increases the damage dealt against Earth enemies.,DAMAGE
atk,Anti-Electricity Crit,R13: Heaven,1%,Provides a chance to multiply your damage against Electricity enemies by 4.,CHANCE DAMAGE
atk,Anti-Electricity Projectiles,R11: Neutral,1%,Increases the damage dealt against Electricity enemies.,DAMAGE
atk,Anti-Fire Crit,R12: Dark Realm,1%,Provides a chance to multiply your damage against Fire enemies by 4.,CHANCE DAMAGE
atk,Anti-Fire Projectiles,R11: Neutral,1%,Increases the damage dealt against Fire enemies.,DAMAGE
atk,Anti-Light Crit,R13: Heaven,1%,Provides a chance to multiply your damage against Light enemies by 4.,CHANCE DAMAGE
atk,Anti-Light Projectiles,R11: Neutral,1%,Increases the damage dealt against Light enemies.,DAMAGE
atk,Anti-Nature Crit,R13: Heaven,1%,Provides a chance to multiply your damage against Nature enemies by 4.,CHANCE DAMAGE
atk,Anti-Nature Projectiles,R11: Neutral,1%,Increases the damage dealt against Nature enemies.,DAMAGE
atk,Anti-Neutral Projectiles,R11: Neutral,1%,Increases the damage dealt against Neutral enemies.,DAMAGE
atk,Anti-Universal Projectiles,R11: Neutral,1%,Increases the damage dealt against Universal enemies.,DAMAGE
atk,Anti-Water Crit,R12: Dark Realm,1%,Provides a chance to multiply your damage against Water enemies by 4.,CHANCE DAMAGE
atk,Anti-Water Projectiles,R11: Neutral,1%,Increases the damage dealt against Water enemies.,DAMAGE
atk,Attack Speed,Base mod,Unlocked from start,Modifies the towers attack speed.,ATTACKSPEED
atk,Bash,R03: Winter,0.12%,Provides a small chance to stun a target for a short duration. Stunned units cannot move or attack.,CHANCE STUN DEBUFF
atk,Basic Attack,Base mod,Unlocked from start,Provides the tower some basic Neutral damage.,DAMAGE
atk,Basic Bouncing,R01: Forest,Wave 10,Provides the projectiles a chance to bounce off to additional targets. Does not bounce off to the same unit twice. The chance is calculated for each target separately so the missile might bounce off fewer times than the limit.,CHANCE AREA
atk,Burning Attack,R05: Volcano,0.1%,Provides a 10% chance to ignite all enemies in a large area around the primary target. Burning them for a specific amount of fire damage each second. Lasts up to 5 seconds.,CHANCE AREA DAMAGE
atk,Combustion,Experiment: Fire,"75,000°C",Provides a 25% chance that a destroyed enemy will explode and deal a part of its maximum hitpoints as Fire damage to surrounding enemies.,CHANCE DAMAGE
atk,Critical Strike,Experiment: Neutral,6.5M,Provides a chance to deal more damage on an attack.,CHANCE DAMAGE
atk,Dark Sacrifice,Era Experiment: Darkness,,Sacrifices 30% of the tower's current HP and in turn increases it's dark damage multiplicatevly by [sacrificed amount]^0.2 for a certain amount of time,ACTIVE INSTANT BUFF
atk,Darkness Attack,R03: Winter,5%,Provides the tower some basic Darkness damage on every attack.,DAMAGE
atk,Darkness Burst,R03: Winter,2%,Provides the tower a 20% chance to deal additional Darkness on an attack.,CHANCE DAMAGE
atk,Darkness Crit,R03: Winter,1%,Provides a chance to multiply your projectile's Darkness damage.,CHANCE DAMAGE
atk,Darkness Focus,R15: Chaos,1%,Increases Darkness damage dealt by the tower for 45 seconds.,ACTIVE INSTANT DAMAGE BUFF
atk,Darkness Impetus,R10: Ocean,1%,Increases the total Darkness damage of the tower based on the distance between the target and the tower at the moment the projectile arrives.,DAMAGE
atk,Darkness Splash,R07: Jungle,0.9%,Provides a 20% chance to damage all enemies in a 8M radius around the primary target by a fixed amount. Damage type is Darkness.,AREA DAMAGE
atk,Darkness Subsistence,R12: Dark Realm,1%,Increases your Darkness damage based on your current energy percentage. Full bonus is applied at 100% energy. Drains 200 energy whenever the bonus is applied.,DAMAGE
atk,Darkness Taste,Experiment: Darkness,5 Particles,Deals additional damage of type Darkness based on a percentage of the total damage dealt. Damage of taste modules can not be further amplified.,DAMAGE
atk,Daybloom,Experiment: Nature,30 Plants,Applies a part of module and damage factor related Light damage bonus to Nature damage as well.,DAMAGE
atk,Death Wish,Arcade: Lucky Wheel,,Increases outgoing damage by a certain % and incoming damage by half of that amount.,DAMAGE WEAKEN
atk,Desperado,Arcade: Lucky Wheel,,"Sprays the surrounding area full of lead, hitting all enemies anywhere from 0 to 2 times.",ACTIVE INSTANT AREA DAMAGE
atk,Divine Blessing,R06: High Mountain,0.15%,Provides a chance to damage an enemy by 5% of the towers current hitpoints and to temporarily increase the towers maximum hitpoints. Every second the total amount of bonus HP reduces by 1% of its current value.,CHANCE DAMAGE HEALTH
atk,Earth Attack,R01: Forest,5%,Provides the tower some basic Earth damage on every attack.,DAMAGE
atk,Earth Burst,R01: Forest,2%,Provides the Tower a 20% chance to deal additional Earth damage on an attack.,CHANCE DAMAGE
atk,Earth Crit,R03: Winter,1%,Provides a chance to multiply your projectile's Earth damage.,CHANCE DAMAGE
atk,Earth Focus,R15: Chaos,1%,Increases Earth damage dealt by the tower for 45 seconds.,ACTIVE INSTANT DAMAGE BUFF
atk,Earth Impetus,R10: Ocean,1%,Increases the total Earth damage of the tower based on the distance between the target and the tower at the moment the projectile arrives.,DAMAGE
atk,Earth Splash,R07: Jungle,0.9%,Provides a 20% chance to damage all enemies in a 8M radius around the primary target by a fixed amount. Damage type is Earth.,AREA DAMAGE
atk,Earth Subsistence,R12: Dark Realm,1%,Increases your Earth damage based on your current energy percentage. Full bonus is applied at 100% energy. Drains 200 energy whenever the bonus is applied.,DAMAGE
atk,Earth Taste,Experiment: Earth,"1,750 kg/m³",Deals additional damage of type Earth based on a percentage of the total damage dealt. Damage of taste modules can not be further amplified.,DAMAGE
atk,Earthquake,Experiment: Earth,55M kg/m³,Stuns all non-Earth enemies on the map and damages them by 15% of the towers maximum hitpoints. Damage type is Earth.,ACTIVE INSTANT AREA DAMAGE STUN DEBUFF
atk,Electricity Attack,R02: Desert,5%,Provides the tower some basic Electricity damage on every attack.,DAMAGE
atk,Electricity Burst,R02: Desert,2%,Provides the tower a 20% chance to deal additional Electricity damage on an attack.,CHANCE DAMAGE
atk,Electricity Crit,R02: Desert,1%,Provides a chance to multiply your projectile's Electricity damage.,CHANCE DAMAGE
atk,Electricity Focus,R15: Chaos,1%,Increases Electricity damage dealt by the tower for 45 seconds.,ACTIVE INSTANT DAMAGE BUFF
atk,Electricity Impetus,R10: Ocean,1%,Increases the total Electricity damage of the tower based on the distance between the target and the tower at the moment the projectile arrives.,DAMAGE
atk,Electricity Splash,R06: High Mountain,0.9%,Provides a 20% chance to damage all enemies in a 8M radius around the primary target by a fixed amount. Damage type is Electricity.,AREA DAMAGE
atk,Electricity Subsistence,R12: Dark Realm,1%,Increases your Electricity damage based on your current energy percentage. Full bonus is applied at 100% energy. Drains 200 energy whenever the bonus is applied.,DAMAGE
atk,Electricity Taste,Experiment: Electricity,5A,Deals additional damage of type Electricity based on a percentage of the total damage dealt. Damage of taste modules can not be further amplified.,DAMAGE
atk,Emergency Critical,Experiment: Universal,>= 1.8G,Provides a chance to multiply outgoing damage. The chance is based on the current %-based hitpoints of the tower where 100% health provides a 0% chance and 0% health provides a 100% chance.,CHANCE DAMAGE
atk,Execution,R09: Beach,1%,Allows the tower to deal additional Universal damage to an enemy if its hitpoints are below 45% of their maximum value.,DAMAGE
atk,Extinguish,Experiment: Water,1000L (-22°C),Provides a chance to instantly destroy a fire enemy on an attack.,CHANCE DAMAGE
atk,Fire Attack,R01: Forest,5%,Provides the tower some basic Fire damage on every attack.,DAMAGE
atk,Fire Bomb,Artifact: Incendiary Device,,Place a bomb that will explode after one second and deal fire damage to enemies in a 12m radius.,ACTIVE GROUND AREA DAMAGE
atk,Fire Breath,Experiment: Fire,"3,000°C",Provides a chance to release a wave of Fire that damages every unit on its way towards the primary target. Deals a fixed amount of damage.,CHANCE AREA DAMAGE
atk,Fire Burst,R01: Forest,2%,Provides the Tower a 20% chance to deal additional Fire damage on an attack.,CHANCE DAMAGE
atk,Fire Crit,R02: Desert,1%,Provides a chance to multiply your projectile's Fire damage.,CHANCE DAMAGE
atk,Fire Focus,R15: Chaos,1%,Increases Fire damage dealt by the tower for 45 seconds.,ACTIVE INSTANT DAMAGE BUFF
atk,Fire Impetus,R10: Ocean,1%,Increases the total Fire damage of the tower based on the distance between the target and the tower at the moment the projectile arrives.,DAMAGE
atk,Fire Splash,R06: High Mountain,0.9%,Provides a 20% chance to damage all enemies in a 8M radius around the primary target by a fixed amount. Damage type is Fire.,AREA DAMAGE
atk,Fire Subsistence,R12: Dark Realm,1%,Increases your Fire damage based on your current energy percentage. Full bonus is applied at 100% energy. Drains 200 energy whenever the bonus is applied.,DAMAGE
atk,Fire Taste,Experiment: Fire,100°C,Deals additional damage of type Fire based on a percentage of the total damage dealt. Damage of taste modules can not be further amplified.,DAMAGE
atk,Firestorm,R05: Volcano,1%,Unleashes a powerful firestorm at the targeted location which damages enemies by 40% of their max. hitpoints + a fixed amount of damage.,ACTIVE GROUND AREA DAMAGE
atk,Fracture,Arcade: Jumble,,Temporarily subtracts 500% of the towers resistance (post-additive) but in turn multiplies all outgoing damage by a constant factor.,ACTIVE INSTANT BUFF RESISTANCE DAMAGE
atk,Frost Splash,Era Experiment: Water,,Provides a 10% chance to slow the movement speed of all enemies in a large area around the primary target for 3 seconds. Stacks with other slowing effects.,CHANCE AREA SLOW
atk,Gaia Synergy,Infinity grid: 15,1 Oc (1e27),Deals two independent instances of infinity Earth and Nature damage.,INFINITY DAMAGE
atk,Gaia's path,Experiment: Nature,22 Plants,"Projectiles that hit Nature enemies will start to bounce off to nearby targets. Bouncing a total of 3 times, dealing Nature damage to additional targets.",AREA DAMAGE
atk,Gigantic vines,Experiment: Nature,35 Plants,Spawns huge vines all over the map (requires solid ground). Enemies getting too close to the vines will receive a negative buff that slows their movement and attackspeed by 33% and deals 10% of their current hitpoints as Nature damage to them.,ACTIVE INSTANT AREA DAMAGE SLOW DEBUFF
atk,Glacier Spikes,Experiment: Water,2500L (-40°C),Spawns multiple ice pillars at random positions around the map (requires solid ground). Enemies that get too close to the pillars will take a fixed amount of water damage multiplied by the towers water armor (multiplier cannot be lower than 1) and have their movement- and attackspeed slowed by 90%. The pillars will disappear after 20 seconds.,ACTIVE INSTANT AREA DAMAGE SLOW DEBUFF
atk,Headhunting,Challenge: 2-3,Challenge Completion,"Increases the damage against non-normal enemy types. Includes Archers, Assassins, Wizards, Tanks and bosses.",DAMAGE ARCHER WIZARD ASSASSIN BOSS TANK
atk,Ice breath,Era Experiment: Water,,Provides a chance to release a wave of frost that deals little damage and freezes all enemies in a straight line for 1.2 seconds.,CHANCE AREA STUN DEBUFF
atk,Ice Shards,R10: Ocean,1%,Deals Water damage on impact and slows the movement speed of the primary target for 2 seconds.,DAMAGE SLOW DEBUFF
atk,Impetus,Experiment: Neutral,10000,Increases the total damage of the tower based on the distance between the target and the tower at the moment the projectile arrives.,DAMAGE
atk,Incineration,Experiment: Fire,"5,000,000°C",Increases Fire damage based on the current hitpoint percentage of the primary target.,DAMAGE
atk,Infinity Attack,Infinity grid: 14,100 Sp (1e26),An incredibly refined attack module that allows the tower to damage infinity enemies. Damage type is Neutral.,INFINITY DAMAGE
atk,Infinity Burst,Infinity grid: 7,100 Oc (1e29),Provides a 25% chance to deal additional Neutral infinity damage.,INFINITY DAMAGE CHANCE
atk,Infinity Critical,Infinity grid: 9,1 Oc (1e27),Provides a chance to multiply the towers damage. The multiplier is not reduced for infinity enemies.,CHANCE INFINITY DAMAGE
atk,Infinity Impetus,Infinity grid: 19,10 Oc (1e28),Increases the total damage of a projectile based on how close an enemy is to the tower at the moment the projectile arrives. Uses the towers attackrange as reference.,INFINITY DAMAGE
atk,Infinity Splash,Infinity grid: 8,1 Oc (1e27),Provides a 20% chance to damage enemies close to your primary target by a portion of your damage dealt to the primary target itself as infinity damage.,CHANCE AREA INFINITY DAMAGE
atk,Lifeleech,R07: Jungle,1.5%,Instantly drains life from surrounding enemies to heal the tower. Draining life counts as Nature damage.,ACTIVE INSTANT AREA LIFESTEAL
atk,Lifesteal,Experiment: Neutral,2500,Converts a part of the attack damage dealt back to health for the tower.,HEALTH LIFESTEAL
atk,Light Attack,R02: Desert,5%,Provides the tower some basic Light damage on every attack.,DAMAGE
atk,Light Burst,R02: Desert,2%,Provides the tower a 20% chance to deal additional Light damage on an attack.,CHANCE DAMAGE
atk,Light Crit,R02: Desert,1%,Provides a chance to multiply your projectile's Light damage.,CHANCE DAMAGE
atk,Light Focus,R15: Chaos,1%,Increases Light damage dealt by the tower for 45 seconds.,ACTIVE INSTANT DAMAGE BUFF
atk,Light Impetus,R10: Ocean,1%,Increases the total Light damage of the tower based on the distance between the target and the tower at the moment the projectile arrives.,DAMAGE
atk,Light Splash,R06: High Mountain,0.9%,Provides a 20% chance to damage all enemies in a 8M radius around the primary target by a fixed amount. Damage type is Light.,AREA DAMAGE
atk,Light Subsistence,R12: Dark Realm,1%,Increases your Light damage based on your current energy percentage. Full bonus is applied at 100% energy. Drains 200 energy whenever the bonus is applied.,DAMAGE
atk,Light Taste,Experiment: Light,"5,000 LM",Deals additional damage of type Light based on a percentage of the total damage dealt. Damage of taste modules can not be further amplified.,DAMAGE
atk,Lightning,Experiment: Electricity,12A,"Hits all surrounding enemies with the wrath of the thundergod. Deals Electricity damage in a large radius around the tower, stunning all affected targets for 2 seconds.",ACTIVE INSTANT AREA DAMAGE STUN DEBUFF
atk,Multishot,R01: Forest,Wave 30,Provides a chance to shoot more missiles in order to hit additional targets on an attack.,CHANCE AREA
atk,Nature Attack,R01: Forest,5%,Provides the tower some basic Nature damage on every attack.,DAMAGE
atk,Nature Burst,R01: Forest,2%,Provides the tower a 20% chance to deal additional Nature damage on an attack.,CHANCE DAMAGE
atk,Nature Crit,R01: Forest,2%,Provides a chance to multiply your projectile's Nature damage.,CHANCE DAMAGE
atk,Nature Focus,R15: Chaos,1%,Increases Nature damage dealt by the tower for 45 seconds.,ACTIVE INSTANT DAMAGE BUFF
atk,Nature Impetus,R10: Ocean,1%,Increases the total Nature damage of the tower based on the distance between the target and the tower at the moment the projectile arrives.,DAMAGE
atk,Nature Splash,R07: Jungle,2%,Provides a 20% chance to damage all enemies in a 8M radius around the primary target by a fixed amount. Damage type is Nature.,AREA DAMAGE
atk,Nature Subsistence,R12: Dark Realm,1%,Increases your Nature damage based on your current energy percentage. Full bonus is applied at 100% energy. Drains 200 energy whenever the bonus is applied.,DAMAGE
atk,Nature Taste,Experiment: Nature,3 Plants,Deals additional damage of type Nature based on a percentage of the total damage dealt. Damage of taste modules can not be further amplified.,DAMAGE
atk,Nature's Touch,R01: Forest,Wave 40,Deals Nature damage to the primary target and heals the tower by a percentage of the total damage dealt.,DAMAGE LIFESTEAL
atk,Nature's wrath,Experiment: Nature,26 Plants,Amplifies Nature projectile damage dealt against Neutral enemies.,DAMAGE
atk,Neutral Focus,R15: Chaos,1%,Increases Neutral damage dealt by the tower for 45 seconds.,ACTIVE INSTANT DAMAGE BUFF
atk,Phoenix Bounce,Challenge: 1-1,Challenge Completion,Creates a very hot missile that deals Fire damage and bounces off to another target if the current target is of type Fire. Bounces up to 10 times.,AREA DAMAGE
atk,Planned Strike,Challenge: 1-4,Challenge Completion,Every 10 attack deals more damage. Switching targets does not reset the counter.,DAMAGE
atk,Quantum Speed,Infinity grid: 10,10 Oc (1e28),Provides the tower with the ability to reach much higher attack speed.,INFINITY ATTACKSPEED
atk,Rapidfire,R09: Beach,0.6%,Provides a chance to temporarily increase the attack speed of the tower by 50% whenever an enemy is being destroyed.,CHANCE BUFF ATTACKSPEED
atk,Redirect,Arcade: Lucky Wheel,,Sacrifices the towers shield an in turn increases its electricity damage multiplicatively by [sacrificed amount]^0.15 for a certain amount of time.,ACTIVE INSTANT BUFF
atk,Relay,Era Experiment: Electricity,,Provides a chance to hit a maximum of 4 additional electricity enemies around the tower when attacking an electricity type enemy.,CHANCE AREA
atk,Shatter,Experiment: Water,500L (-20°C),Increases water damage dealt against stunned or frozen enemies.,DAMAGE STUN
atk,Shockwave,Era Experiment: Earth,,Hurls a shockwave towards the targeted point which stuns and damages all enemies on its way.,ACTIVE INSTANT DAMAGE STUN DEBUFF
atk,Solar Strike,Era Experiment: Fire,,Provides a chance to multiply your outgoing damage. Damage is multiplied by another 10000 if the target is a Nature element.,CHANCE DAMAGE
atk,Soul Harvesting,R04: Underground,0.1%,Provides a chance to deal 33% of the primary targets current health as additional Darkness damage.,CHANCE DAMAGE
atk,Sparks,R08: Metallic Ruins,0.12%,Deals a random amount of damage and provides a 25% chance to stun non-Boss units for 1 second on an attack.,DAMAGE STUN DEBUFF ARCHER WIZARD ASSASSIN NORMAL TANK
atk,Splash,R03: Winter,1%,Provides a 33% chance to damage all enemies in a 10M radius around the targeted unit by a fixed amount. Damage type is Neutral.,CHANCE AREA DAMAGE
atk,Storm Synergy,Infinity grid: 11,1 Oc (1e27),Deals two independent instances of infinity Water and Air damage.,INFINITY DAMAGE
atk,Sun Synergy,Infinity grid: 18,1 Oc (1e27),Deals two independent instances of infinity Fire and Electricity damage.,INFINITY DAMAGE
atk,Super Multishot,R09: Beach,0.8%,Instantly fires a missile at multiple targets around the tower.,ACTIVE INSTANT AREA
atk,Unholy Missile,Experiment: Darkness,75 Particles,Increases the damage based on the current missing hitpoint percentage of the primary target.,DAMAGE
atk,Universal Attack,Experiment: Universal,>= 1.5G,Provides the tower some Universal damage. Universal damage is very effective against Universal type enemies and does full damage to all elements.,DAMAGE
atk,Universal Focus,R15: Chaos,1%,Increases Universal damage dealt by the tower for 45 seconds.,ACTIVE INSTANT DAMAGE BUFF
atk,Universal Infinity,Infinity grid: 20,100 Oc (1e29),Deals Universal infinity damage.,INFINITY DAMAGE
atk,Violent Seeds,Experiment: Nature,12 Plants,Continuously increases the towers Nature damage until the end of the duration.,ACTIVE INSTANT BUFF
atk,Void Synergy,Infinity grid: 5,100 Oc (1e29),Deals two independent instances of infinity Light and Darkness damage.,INFINITY DAMAGE
atk,Water Attack,R03: Winter,5%,Provides the tower some basic Water damage on every attack.,DAMAGE
atk,Water Burst,R03: Winter,2%,Provides the tower a 20% chance to deal additional Water damage on an attack.,CHANCE DAMAGE
atk,Water Crit,R03: Winter,1%,Provides a chance to multiply your projectile's Water damage.,CHANCE DAMAGE
atk,Water Focus,R15: Chaos,1%,Increases Water damage dealt by the tower for 45 seconds.,ACTIVE INSTANT DAMAGE BUFF
atk,Water Impetus,R10: Ocean,1%,Increases the total Water damage of the tower based on the distance between the target and the tower at the moment the projectile arrives.,DAMAGE
atk,Water Splash,R07: Jungle,0.9%,Provides a 20% chance to damage all enemies in a 8M radius around the primary target by a fixed amount. Damage type is Water.,AREA DAMAGE
atk,Water Subsistence,R12: Dark Realm,1%,Increases your Water damage based on your current energy percentage. Full bonus is applied at 100% energy. Drains 200 energy whenever the bonus is applied.,DAMAGE
atk,Water Taste,Experiment: Water,50L (15°C),Deals additional damage of type Water based on a percentage of the total damage dealt. Damage of taste modules can not be further amplified.,DAMAGE
def,Adaptive Regeneration,Experiment: Nature,6 Plants,Automatically repairs the tower by an amount based on its maximum hitpoints.,HEALTH REGENERATION
def,Advanced Heal,Challenge: 2-4,Challenge Completion,Instantly refills a percentage of the tower's maximum hitpoints.,ACTIVE INSTANT HEALTH
def,Advanced Shield,Era Experiment: Earth,,"Provides the tower with an advanced shield, but disables health regeneration.",SHIELD REGENERATION
def,Air Armor,R04: Underground,5%,Reduces incoming Air damage by a fixed amount.,ARMOR
def,Air Barrier,R06: High Mountain,1%,Damages attackers by an amount (based on your max. shield points) of damage type Air as long as your current shield points are greater than 0.,REACTIVE DAMAGE
def,Air Block,R14: Universe,1%,Provides a chance to fully block incoming Air damage.,BLOCK CHANCE
def,Air Exchange,R09: Beach,1%,Divides incoming Air damage by a certain amount while at the same time multiplying incoming Earth damage.,RESISTANCE
def,Air Protection,R13: Heaven,1%,Increases your Air armor (abs. resistance) by an amount that is based on the maximum shield value of the tower. Bonus is only active when the shield is active.,ARMOR
def,Air Resistance,R02: Desert,5%,Reduces incoming Air damage by a percent based amount.,RESISTANCE
def,Air Shell,R06: High Mountain,1%,Increases resistance against Air damage everytime the tower takes damage of the specified type. Stacks up to 100 times (multiplicatively) and lasts up to 4 seconds. Taking damage of the same type again refreshes the duration.,RESISTANCE BUFF
def,Basic Regeneration,Base mod,Unlocked from start,Supplies the tower with the ability to slowly regenerate itself.,HEALTH REGENERATION
def,Basic Shield,R03: Winter,Wave 50,Provides the tower with a shield that absorbs damage.,SHIELD
def,Boss shield,R03: Winter,1.2%,Reduces the incoming damage from Boss enemies.,REACTIVE BLOCK BOSS
def,Bulletproof,R06: High Mountain,0.9%,Provides resistance against incoming damage from ranged units like archers and wizards.,REACTIVE BLOCK ARCHER WIZARD
def,Checkerboard Aura,Mine: Second Floor,0.5%,Reduces the base resistance of nearby enemies against Neutral and Universal damage. Negative base resistance amplifies damage of the according element type.,AURA DEBUFF
def,Daigoparry,Arcade: Secret,Konami code,Parry the next 15 hits that would kill you,REACTIVE BLOCK
def,Darkness Armor,R04: Underground,5%,Reduces incoming Darkness damage by a fixed amount.,ARMOR
